subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
08EN,45,real,M1_AP,rest,n20,10.0,25.0,2,9,10.199999999999989,-6.451923450231552,C3,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,n20,10.0,25.0,3,9,10.399999999999977,-6.082523894309998,C3,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,p30,20.0,40.0,1,61,20.80000000000001,5.51630340218544,AF8,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,p30,20.0,40.0,2,61,22.399999999999977,5.3031740011274815,AF8,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,p30,20.0,40.0,3,61,20.600000000000023,5.269534750580788,AF8,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,n45,40.0,55.0,1,1,54.60000000000002,-4.341209806501865,TP9,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,n45,40.0,55.0,2,1,55.0,-4.282580293416977,TP9,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,n45,40.0,55.0,3,1,51.80000000000001,-4.083410785198212,TP9,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,p60,55.0,70.0,1,48,60.0,6.466726784557104,FCz,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
08EN,45,real,M1_AP,rest,p60,55.0,70.0,2,48,61.0,6.016332165598869,FCz,session_45__set_3__cleaned_SOUND.mat; session_45__set_7__cleaned_SOUND.mat,03_08EN_M1_AP_45MSO_real.hdf5; 07_08EN_M1_AP_45MSO_real.hdf5
