subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
09TI,55,real,M1_PA,after,n20,10.0,25.0,2,20,11.600000000000023,-2.8345268884301187,O2,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n20,10.0,25.0,3,54,11.800000000000011,-2.624262412190437,PO8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p30,20.0,40.0,1,41,27.399999999999977,3.613787465393543,PO7,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p30,20.0,40.0,2,11,27.80000000000001,3.3818132688850167,O1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p30,20.0,40.0,3,48,36.0,2.8188460475206374,FCz,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n45,40.0,55.0,1,26,49.19999999999999,-3.6667340022325514,F8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n45,40.0,55.0,2,12,47.80000000000001,-3.4129141257703304,Fp1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n45,40.0,55.0,3,61,54.80000000000001,-3.289910895191133,AF8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p60,55.0,70.0,1,29,69.0,5.078558447659016,P8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p60,55.0,70.0,2,20,69.80000000000001,4.736115613467991,O2,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,p60,55.0,70.0,3,54,68.0,4.662148411273956,PO8,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n100,80.0,120.0,1,12,81.39999999999998,-4.579502228498459,Fp1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n100,80.0,120.0,2,44,81.80000000000001,-4.223471660614013,AF3,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_PA,after,n100,80.0,120.0,3,45,87.0,-4.204120233505964,F1,session_55__set_3__cleaned_SOUND.mat; session_55__set_7__cleaned_SOUND.mat,02_09TI_M1_PA_30MSO_real.hdf5; 06_09TI_M1_PA_30MSO_real.hdf5
09TI,55,real,M1_AP,rest,n20,10.0,25.0,1,38,10.399999999999977,-9.080022630691529,CP3,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
09TI,55,real,M1_AP,rest,n20,10.0,25.0,2,43,11.199999999999989,-8.79599873661995,P1,session_55__set_1__cleaned_SOUND.mat; session_55__set_5__cleaned_SOUND.mat,00_09TI_M1_AP_55MSO_real.hdf5; 04_09TI_M1_AP_50MSO_real.hdf5
