subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
02NS,41,real,M1_PA,after,n20,10.0,25.0,2,45,10.800000000000011,-15.775996723175048,F1,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n20,10.0,25.0,3,45,11.199999999999989,-15.11159942150116,F1,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,p30,20.0,40.0,1,15,20.399999999999977,7.974049530029297,Fp2,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,p30,20.0,40.0,2,34,20.0,7.967362914681434,AF7,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,p30,20.0,40.0,3,34,20.19999999999999,7.667076319754123,AF7,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n45,40.0,55.0,1,48,50.0,-9.364639659523965,FCz,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n45,40.0,55.0,2,48,47.19999999999999,-9.269830489978194,FCz,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n45,40.0,55.0,3,48,46.80000000000001,-9.149860706925391,FCz,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,p60,55.0,70.0,1,8,55.80000000000001,6.7898376536369325,P3,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,p60,55.0,70.0,2,8,55.0,6.745601159334183,P3,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,p60,55.0,70.0,3,8,57.0,6.729001972675324,P3,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n100,80.0,120.0,1,1,104.60000000000002,-8.667980139255524,TP9,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n100,80.0,120.0,2,1,105.80000000000001,-8.57559890538454,TP9,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_PA,after,n100,80.0,120.0,3,1,104.19999999999999,-8.56466982960701,TP9,session_41__set_3__cleaned_SOUND.mat; session_41__set_7__cleaned_SOUND.mat,03_02NS_M1_PA_52MSO_real.hdf5; 07_02NS_M1_PA_52MSO_real.hdf5
02NS,41,real,M1_AP,rest,n20,10.0,25.0,1,9,12.0,-33.47070713043213,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n20,10.0,25.0,2,9,12.199999999999989,-33.15164194107056,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n20,10.0,25.0,3,9,12.399999999999977,-31.99524881362915,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,p30,20.0,40.0,1,48,29.399999999999977,8.6820019865036,FCz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,p30,20.0,40.0,2,48,30.19999999999999,8.5954718708992,FCz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,p30,20.0,40.0,3,48,29.19999999999999,8.478507549576461,FCz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n45,40.0,55.0,1,1,51.19999999999999,-3.6982997593283655,TP9,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n45,40.0,55.0,2,1,51.39999999999998,-3.6875468349456786,TP9,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n45,40.0,55.0,3,1,50.60000000000002,-3.6097917444538323,TP9,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,p60,55.0,70.0,1,16,59.0,5.168777753412724,Cz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,p60,55.0,70.0,2,50,61.19999999999999,5.157054493427276,CPz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,p60,55.0,70.0,3,16,55.80000000000001,5.107874807892367,Cz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n100,80.0,120.0,1,3,117.60000000000002,-12.313479697704315,CP5,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n100,80.0,120.0,2,38,117.80000000000001,-12.177616653442383,CP3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,rest,n100,80.0,120.0,3,38,115.0,-12.085966213345527,CP3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n20,10.0,25.0,1,9,12.0,-32.36131534576416,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n20,10.0,25.0,2,9,12.199999999999989,-31.771868896484374,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n20,10.0,25.0,3,9,11.800000000000011,-29.7153271484375,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,p30,20.0,40.0,1,16,28.0,7.749809255599976,Cz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,p30,20.0,40.0,2,16,27.399999999999977,7.719677740335465,Cz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,p30,20.0,40.0,3,48,29.19999999999999,7.695657996833324,FCz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n45,40.0,55.0,1,27,53.39999999999998,-4.799232868440449,FT10,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n45,40.0,55.0,2,4,54.60000000000002,-4.339886658191681,FT9,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n45,40.0,55.0,3,27,53.60000000000002,-4.3388512992858885,FT10,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,p60,55.0,70.0,1,10,55.0,5.067349470257759,CP1,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,p60,55.0,70.0,2,10,55.39999999999998,4.9402974367141725,CP1,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,p60,55.0,70.0,3,10,55.19999999999999,4.907023446559906,CP1,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n100,80.0,120.0,1,39,110.19999999999999,-9.240368171036243,P5,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n100,80.0,120.0,2,39,101.80000000000001,-8.952622891664506,P5,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,onset,n100,80.0,120.0,3,39,97.39999999999998,-8.916547721624374,P5,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n20,10.0,25.0,1,9,12.0,-33.66372528076172,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n20,10.0,25.0,2,9,12.199999999999989,-32.6201282119751,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n20,10.0,25.0,3,9,11.800000000000011,-31.01835865020752,C3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,p30,20.0,40.0,1,48,27.80000000000001,6.887192675471306,FCz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,p30,20.0,40.0,2,48,28.399999999999977,6.755276507139206,FCz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,p30,20.0,40.0,3,48,29.600000000000023,6.58412653118372,FCz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n45,40.0,55.0,1,13,45.19999999999999,-4.809354512169957,FC1,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n45,40.0,55.0,2,13,42.39999999999998,-4.5116979318857195,FC1,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n45,40.0,55.0,3,16,41.60000000000002,-4.489441958665847,Cz,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,p60,55.0,70.0,1,61,69.39999999999998,5.185585047006607,AF8,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,p60,55.0,70.0,2,15,69.60000000000002,5.170532858669758,Fp2,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,p60,55.0,70.0,3,61,69.19999999999999,4.917789178267121,AF8,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n100,80.0,120.0,1,38,90.0,-7.689221966043115,CP3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n100,80.0,120.0,2,38,90.39999999999998,-7.649850801229477,CP3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,real,M1_AP,after,n100,80.0,120.0,3,38,89.80000000000001,-7.584922392368316,CP3,session_41__set_1__cleaned_SOUND.mat; session_41__set_5__cleaned_SOUND.mat,01_02NS_M1_AP_60MSO_real.hdf5; 05_02NS_M1_AP_60MSO_realI.hdf5
02NS,41,MI,M1_PA,rest,n20,10.0,25.0,1,45,11.199999999999989,-12.982833877801895,F1,session_41__set_4__cleaned_SOUND.mat; session_41__set_8__cleaned_SOUND.mat,04_02NS_M1_PA_52MSO_MI.hdf5; 08_02NS_M1_PA_52MSO_MI.hdf5
02NS,41,MI,M1_PA,rest,n20,10.0,25.0,2,45,11.399999999999977,-12.15975640654564,F1,session_41__set_4__cleaned_SOUND.mat; session_41__set_8__cleaned_SOUND.mat,04_02NS_M1_PA_52MSO_MI.hdf5; 08_02NS_M1_PA_52MSO_MI.hdf5
02NS,41,MI,M1_PA,rest,n20,10.0,25.0,3,45,11.0,-11.912092499434948,F1,session_41__set_4__cleaned_SOUND.mat; session_41__set_8__cleaned_SOUND.mat,04_02NS_M1_PA_52MSO_MI.hdf5; 08_02NS_M1_PA_52MSO_MI.hdf5
02NS,41,MI,M1_PA,rest,p30,20.0,40.0,1,12,20.19999999999999,8.658917998671532,Fp1,session_41__set_4__cleaned_SOUND.mat; session_41__set_8__cleaned_SOUND.mat,04_02NS_M1_PA_52MSO_MI.hdf5; 08_02NS_M1_PA_52MSO_MI.hdf5
02NS,41,MI,M1_PA,rest,p30,20.0,40.0,2,12,20.0,8.455970319807529,Fp1,session_41__set_4__cleaned_SOUND.mat; session_41__set_8__cleaned_SOUND.mat,04_02NS_M1_PA_52MSO_MI.hdf5; 08_02NS_M1_PA_52MSO_MI.hdf5
02NS,41,MI,M1_PA,rest,p30,20.0,40.0,3,12,20.399999999999977,8.150889051407576,Fp1,session_41__set_4__cleaned_SOUND.mat; session_41__set_8__cleaned_SOUND.mat,04_02NS_M1_PA_52MSO_MI.hdf5; 08_02NS_M1_PA_52MSO_MI.hdf5
