subject,session,run_cond,spot,condition,component,window_start_ms,window_end_ms,selected_rank,channel_idx,latency_ms,amplitude_uv,channel,source_files,source_originals
14AL,58,real,M1_PA,after,p30,20.0,40.0,1,15,20.19999999999999,8.50402197599411,Fp2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,p30,20.0,40.0,2,61,20.600000000000023,5.778663616776466,AF8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,p30,20.0,40.0,3,47,20.399999999999977,5.006871335702017,Fpz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n45,40.0,55.0,1,11,40.80000000000001,-5.8829014234244825,O1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n45,40.0,55.0,2,41,40.60000000000002,-5.469523452352733,PO7,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n45,40.0,55.0,3,54,44.60000000000002,-4.021195052862168,PO8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,p60,55.0,70.0,1,42,59.19999999999999,4.700217245221138,C1,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,p60,55.0,70.0,2,9,59.60000000000002,4.477171494066715,C3,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,p60,55.0,70.0,3,16,58.0,4.209319651573896,Cz,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n100,80.0,120.0,1,54,111.19999999999999,-5.261817616224289,PO8,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
14AL,58,real,M1_PA,after,n100,80.0,120.0,2,20,112.0,-5.03659526348114,O2,session_58__set_3__cleaned_SOUND.mat; session_58__set_7__cleaned_SOUND.mat,02_14AL_M1_PA_41MSO_real.hdf5; 06_14AL_M1_PA_41MSO_real.hdf5
